condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
4F4K_congruent,3,331,1,B,88.41,68.14,0.1,1.07,B,791,Correct
4F4K_congruent,3,332,1,B,47.58,39.54,0.05,0.62,B,1091,Correct
4F4K_congruent,3,333,1,B,76.83,61.73,0.09,0.97,A,815,Incorrect
4F4K_congruent,3,334,1,A,48.96,66.35,0.05,1.04,B,801,Incorrect
4F4K_congruent,3,335,2,A,15.75,34.45,0.02,0.54,A,945,Correct
4F4K_congruent,3,336,2,B,54.2,29.17,0.06,0.46,B,777,Correct
4F4K_congruent,3,337,1,A,34.87,63.32,0.04,0.99,A,1507,Correct
4F4K_congruent,3,338,2,A,33.45,50.91,0.04,0.8,B,645,Incorrect
4F4K_congruent,3,339,1,A,20.83,41.36,0.02,0.65,A,626,Correct
4F4K_congruent,3,340,1,A,47.32,70.68,0.05,1.11,B,689,Incorrect
4F4K_congruent,3,341,1,B,71.94,50.08,0.08,0.79,B,786,Correct
4F4K_congruent,3,342,1,B,32.04,14.45,0.04,0.23,A,828,Incorrect
4F4K_congruent,3,343,2,A,20.1,46.9,0.02,0.74,A,748,Correct
4F4K_congruent,3,344,1,A,62.35,82.14,0.07,1.29,A,982,Correct
4F4K_congruent,3,345,2,B,57.62,30.51,0.06,0.48,B,2082,Correct
4F4K_congruent,3,346,1,B,78.25,48.74,0.09,0.77,B,675,Correct
4F4K_congruent,3,347,1,A,53.68,68.14,0.06,1.07,A,1107,Correct
4F4K_congruent,3,348,1,A,60.52,78.37,0.07,1.23,A,1069,Correct
4F4K_congruent,3,349,2,B,75.89,58.35,0.08,0.92,B,938,Correct
4F4K_congruent,3,350,2,B,74.41,52.95,0.08,0.83,B,682,Correct
4F4K_congruent,3,351,1,A,14.28,43.46,0.02,0.68,A,755,Correct
4F4K_congruent,3,352,1,B,64.16,53.07,0.07,0.83,B,671,Correct
4F4K_congruent,3,353,2,B,59.91,44.94,0.07,0.71,B,876,Correct
4F4K_congruent,3,354,1,A,26.03,57.58,0.03,0.9,A,1078,Correct
4F4K_congruent,3,355,2,A,34.08,61.41,0.04,0.96,B,798,Incorrect
4F4K_congruent,3,356,1,B,46.47,32.45,0.05,0.51,B,826,Correct
4F4K_congruent,3,357,1,A,65.11,81.21,0.07,1.28,B,1760,Incorrect
4F4K_congruent,3,358,1,B,54.55,35.4,0.06,0.56,B,758,Correct
4F4K_congruent,3,359,2,B,34.01,15.82,0.04,0.25,A,1669,Incorrect
4F4K_congruent,3,360,2,B,47.5,27.7,0.05,0.44,B,608,Correct
4F4K_congruent,3,361,1,B,64.96,53.94,0.07,0.85,B,892,Correct
