0.3322,0.0000,17.2058,0.6050,0.0066,0.9817,1.0000,0.5482
0.4273,0.0113,14.7352,0.9898,0.0113,0.4202,0.9389,0.5999
0.2598,0.0000,22.0715,0.6833,0.0051,0.9832,1.0000,0.6705
0.1439,0.0000,16.4204,0.7119,0.0246,0.9185,1.0000,0.3548
0.4328,0.0000,14.2679,0.6857,0.0000,0.6351,1.0000,0.0000
0.1575,0.0000,17.3780,0.8774,0.0133,0.7617,1.0000,0.5449
0.1331,0.0046,38.0307,0.8157,0.0329,0.9700,1.0000,0.6651
0.4130,0.0326,16.0684,0.5384,0.0326,0.7120,0.9598,0.6771
0.1634,0.0000,17.2178,0.9220,0.0200,0.8020,1.0000,0.6225
0.2180,0.0000,16.1822,0.8940,0.0183,0.6501,1.0000,0.1276
