0.0511,0.0000,21.0343,0.1561,0.0260,0.3319,0.4508,1.0000
0.0479,0.0000,28.7539,0.4762,0.2238,0.3950,0.4984,1.0000
0.0370,0.0000,30.2943,0.2964,0.5206,0.4092,0.3083,0.0000
0.0522,0.0012,25.5299,0.4120,0.1497,0.4497,0.5498,1.0000
0.0436,0.0007,3.6996,0.8226,0.0109,0.1203,0.7059,0.0677
0.0479,0.0000,14.5625,0.3946,0.0231,0.3621,0.6695,0.4311
0.0629,0.0000,22.2139,0.2289,0.0176,0.8129,1.0000,0.0000
0.0536,0.0012,34.0365,0.2141,0.2772,0.6239,0.3969,1.0000
0.0510,0.0000,37.3826,0.6304,0.3581,0.2968,0.4763,1.0000
0.0635,0.0000,15.8996,0.8353,0.0719,0.2416,0.3352,1.0000
