0.3751,0.0000,17.4571,0.6705,0.0000,0.6827,1.0000,0.7587
0.2749,0.0000,25.5624,0.8792,0.0000,0.6552,1.0000,0.6835
0.1155,0.0000,17.4933,0.7914,0.0338,0.8214,1.0000,0.7267
0.3949,0.0000,1.4924,0.5483,0.0000,0.9788,1.0000,0.4054
0.1163,0.0000,17.3888,0.7649,0.0443,0.9551,1.0000,0.6253
0.3503,0.0000,14.9991,0.8057,0.0000,0.6157,1.0000,0.5256
0.5150,0.0000,16.2178,0.8648,0.0000,0.4848,1.0000,0.5005
0.4381,0.0000,21.4443,0.7090,0.0000,0.7110,1.0000,0.6016
0.1329,0.0000,18.0322,0.8169,0.0231,0.7212,1.0000,0.8186
0.3377,0.0000,19.9318,0.9050,0.0106,0.6652,1.0000,0.6452
