,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,instruct_phase,instruct_state,endpoint_theta,movement_time,movement_initiation_time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.323027747659967,1,1,45,"Please slice through the target as quickly and accurately as possible.
You will not see the cursor during this phase.",1.0,40.35202930861296,0.38363789999857545,0.3170590000008815
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6617376796912326,2,1,120,,1.0,137.2814937691255,0.09991059999811114,0.4170570999995107
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.026522035747373,3,1,75,,1.0,72.8380811971347,0.09885690000010072,0.4817619999994349
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.392282346997725,4,1,135,,1.0,146.0113252517985,0.10040200000003097,0.41746469999998226
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.160891276911691,5,1,105,,1.0,125.67046035730192,0.1176398000025074,0.4833647000014025
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.440251940958834,6,1,60,,1.0,59.70830389968275,0.13352450000093086,0.5326007000003301
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.766717325894051,7,1,90,,1.0,92.6739587755306,0.11601990000053775,0.4169293999984802
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.01526568396472,8,2,135,,1.0,152.01635743318346,0.1326197999987926,0.3838906999990286
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.519706615194318,9,2,105,,1.0,122.74376768222814,0.11685380000199075,0.6671945999987656
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.009008721315375,10,2,45,,1.0,34.83035842343013,0.09959560000061174,0.4335390999985975
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.199960778243908,11,2,60,,1.0,56.84748460901987,0.10006090000024415,0.43192289999933564
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5417641576609267,12,2,90,,1.0,90.48554583000814,0.1169240000017453,0.46634239999912097
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7351555825346117,13,2,120,,1.0,139.0995134034019,0.13334580000082497,0.3823822000013024
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3872199817645362,14,2,75,,1.0,72.37056266550377,0.116952799999126,0.46591259999695467
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5576041032340866,15,1,75,"You will now only see the cursor throughout your entire reach.
Please continue to slice through the target as quickly and accurately as possible.",1.0,67.19979344205005,0.13389979999919888,0.4510381000000052
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.110064606408722,16,1,120,,1.0,141.76617482255307,0.09994039999946835,0.4669358999999531
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.631248581886874,17,1,135,,1.0,143.38560023479712,0.11688549999962561,0.40008529999977327
