condition,subject,trial,phase,cycle_phase,target_angle,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,instruct_phase,instruct_state
low,34,42,baseline_endpoint_fb,2,60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4193343228387274,,1.0
low,34,43,baseline_mixed_fb,1,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6411641483478747,"You will now only see the cursor at the endpoint of your reach on some trials.
On the other trials you will not recieve feedback at all.
Please continue to slice through the target as quickly and accurately as possible.",1.0
low,34,44,baseline_mixed_fb,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06267573840653473,,1.0
low,34,45,baseline_mixed_fb,1,120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.688381694247398,,1.0
low,34,46,baseline_mixed_fb,1,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2869503358190102,,1.0
low,34,47,baseline_mixed_fb,1,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.249437455610877,,1.0
low,34,48,baseline_mixed_fb,1,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9655531000821949,,1.0
low,34,49,baseline_mixed_fb,1,45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.545393076335563,,1.0
low,34,50,baseline_mixed_fb,2,60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.1877930204208855,,1.0
low,34,51,baseline_mixed_fb,2,120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.9508053456587193,,1.0
low,34,52,baseline_mixed_fb,2,105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.72275548741041,,1.0
low,34,53,baseline_mixed_fb,2,135,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.997432165172335,,1.0
low,34,54,baseline_mixed_fb,2,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.56353016145206,,1.0
low,34,55,baseline_mixed_fb,2,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026611163487104815,,1.0
low,34,56,baseline_mixed_fb,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19978137587196,,1.0
low,34,57,generalisation,1,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.916475939447658,"You will now be asked to reach to targets that you have not yet reached to.
You will not receive feedback of any kind for these reaches.Please continue to slice through the target as quickly and accurately as possible.",1.0
low,34,58,generalisation,1,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.00597190218434,,1.0
low,34,59,generalisation,1,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.59601667539677,,1.0
low,34,60,generalisation,1,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.927443333311583,,1.0
low,34,61,generalisation,1,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.934278665775878,,1.0
low,34,62,generalisation,1,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.609123539467767,,1.0
low,34,63,generalisation,1,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.14951973984129,,1.0
low,34,64,generalisation,1,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.505643372265826,,1.0
low,34,65,generalisation,1,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.053027383342897,,1.0
low,34,66,generalisation,1,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.485507296460284,,1.0
low,34,67,generalisation,1,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.96274688829038,,1.0
low,34,68,generalisation,1,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.969941972338987,,1.0
low,34,69,generalisation,2,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.60715827394011,,1.0
low,34,70,generalisation,2,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.593222820433027,,1.0
low,34,71,generalisation,2,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.01683865103087,,1.0
low,34,72,generalisation,2,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.350505921976143,,1.0
low,34,73,generalisation,2,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35.10233348189915,,1.0
low,34,74,generalisation,2,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,34.457883804552225,,1.0
low,34,75,generalisation,2,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.049031164554,,1.0
low,34,76,generalisation,2,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,34.841808871338706,,1.0
low,34,77,generalisation,2,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.75669045799755,,1.0
low,34,78,generalisation,2,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.51499680799452,,1.0
low,34,79,generalisation,2,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.33294055182583,,1.0
low,34,80,generalisation,2,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.82362634092168,,1.0
low,34,81,generalisation,3,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.857644756222655,,1.0
low,34,82,generalisation,3,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.122333236709693,,1.0
low,34,83,generalisation,3,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.608721335909834,,1.0
low,34,84,generalisation,3,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.674852585971212,,1.0
low,34,85,generalisation,3,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.645040750929102,,1.0
low,34,86,generalisation,3,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.566759322959435,,1.0
low,34,87,generalisation,3,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.03394725502808,,1.0
low,34,88,generalisation,3,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.080494927803834,,1.0
low,34,89,generalisation,3,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.551627899260083,,1.0
low,34,90,generalisation,3,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.925998091193648,,1.0
low,34,91,generalisation,3,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.304915585755143,,1.0
low,34,92,generalisation,3,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.77407935678127,,1.0
low,34,93,generalisation,4,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.83121108055352,,1.0
low,34,94,generalisation,4,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.6008074798424,,1.0
low,34,95,generalisation,4,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.628670119570682,,1.0
low,34,96,generalisation,4,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.825882964535836,,1.0
low,34,97,generalisation,4,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.319385740235585,,1.0
low,34,98,generalisation,4,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.07114901854329,,1.0
low,34,99,generalisation,4,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.89986274133961,,1.0
low,34,100,generalisation,4,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.5291971676436,,1.0
low,34,101,generalisation,4,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.71779176061498,,1.0
low,34,102,generalisation,4,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.189035951445256,,1.0
low,34,103,generalisation,4,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.6756320160752,,1.0
low,34,104,generalisation,4,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.340228871066472,,1.0
low,34,105,generalisation,5,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,40.1642948631325,,1.0
low,34,106,generalisation,5,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.31135841739957,,1.0
low,34,107,generalisation,5,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.761720363180366,,1.0
low,34,108,generalisation,5,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.041508926760113,,1.0
low,34,109,generalisation,5,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.37911146354341,,1.0
low,34,110,generalisation,5,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.067192978339808,,1.0
low,34,111,generalisation,5,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.18268924732397,,1.0
low,34,112,generalisation,5,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.579637649060604,,1.0
low,34,113,generalisation,5,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.502708909653535,,1.0
low,34,114,generalisation,5,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.352743511921965,,1.0
low,34,115,generalisation,5,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.66671711457726,,1.0
low,34,116,generalisation,5,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.679817609554945,,1.0
low,34,117,generalisation,6,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.697709762570128,,1.0
low,34,118,generalisation,6,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.06355234305847,,1.0
low,34,119,generalisation,6,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.047428035435566,,1.0
low,34,120,generalisation,6,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.10776751981947,,1.0
low,34,121,generalisation,6,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.185269767262948,,1.0
low,34,122,generalisation,6,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.705927904904236,,1.0
low,34,123,generalisation,6,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.955105877509347,,1.0
low,34,124,generalisation,6,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.64639264073259,,1.0
low,34,125,generalisation,6,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.65380438371813,,1.0
low,34,126,generalisation,6,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.87653756798905,,1.0
low,34,127,generalisation,6,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.094485813521796,,1.0
low,34,128,generalisation,6,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.13948608761393,,1.0
low,34,129,generalisation,7,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35.07735226564886,,1.0
low,34,130,generalisation,7,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.76555661175085,,1.0
low,34,131,generalisation,7,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,41.13837265520444,,1.0
low,34,132,generalisation,7,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.674794212361597,,1.0
low,34,133,generalisation,7,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.691486091437405,,1.0
low,34,134,generalisation,7,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.52396184762105,,1.0
low,34,135,generalisation,7,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.694287129011997,,1.0
low,34,136,generalisation,7,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.506135692326023,,1.0
low,34,137,generalisation,7,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.1766378372375,,1.0
low,34,138,generalisation,7,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.73174516173612,,1.0
low,34,139,generalisation,7,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.571907421629014,,1.0
low,34,140,generalisation,7,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.664181848619464,,1.0
low,34,141,generalisation,8,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.894105457070552,,1.0
low,34,142,generalisation,8,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.227694029718585,,1.0
