condition,trial,phase,su_prev,imv,emv,err_ep,rotation
fast,1,1.0,mid,-2.205737804312548,-1.7351761160475025,1.7351761160475025,0.0
fast,1,1.0,high,3.372086791994512,2.2357195427892265,-2.2357195427892265,0.0
fast,1,1.0,inf,-16.361534057676863,-6.3221764198839026,6.3221764198839026,0.0
fast,2,1.0,low,1.4850601090766844,-2.388534316403721,2.388534316403721,0.0
fast,2,1.0,mid,-5.69155050584564,-3.5841158617094493,3.5841158617094493,0.0
fast,2,1.0,high,-3.39858702424106,-0.7282309869058992,0.7282309869058992,0.0
fast,2,1.0,inf,-9.352569651151285,-2.1959145779226645,2.1959145779226645,0.0
fast,3,1.0,low,-7.541318783345346,-3.3805623912162304,3.3805623912162304,0.0
fast,3,1.0,mid,-8.103698738247687,1.7081503344958406,-1.7081503344958406,0.0
fast,3,1.0,inf,1.2307197601994773,1.3168406163253117,-1.3168406163253117,0.0
fast,4,1.0,low,-4.8179285109156025,-0.6062119286445645,0.6062119286445645,0.0
fast,4,1.0,high,-0.5977251442617657,-0.08088882073847259,0.08088882073847259,0.0
fast,4,1.0,inf,-3.8388383061578537,0.490235879925649,-0.490235879925649,0.0
fast,5,1.0,low,2.0786408562974756,0.8016770117578744,-0.8016770117578744,0.0
fast,5,1.0,mid,-0.7067440013854309,-1.6062274453084484,1.6062274453084484,0.0
fast,5,1.0,high,-7.529453604304841,-2.798472094575544,2.798472094575544,0.0
fast,5,1.0,inf,-5.561169995778755,-0.9465107383825,0.9465107383825,0.0
fast,6,1.0,mid,-2.462019958789277,1.2362250665370418,-1.2362250665370418,0.0
fast,6,1.0,high,0.5946342024323812,0.04523899271450915,-0.04523899271450915,0.0
fast,7,1.0,low,-12.262093937162874,-2.823114611418518,2.823114611418518,0.0
fast,7,1.0,mid,-3.111613981138021,1.7872841119489067,-1.7872841119489067,0.0
fast,7,1.0,high,1.6931585946319245,-2.036370951993348,2.036370951993348,0.0
fast,7,1.0,inf,4.758116366051894,2.0252401763960677,-2.0252401763960677,0.0
fast,8,1.0,low,0.48336044810703527,1.6659606504042301,-1.6659606504042301,0.0
fast,8,1.0,high,-2.8711032024694134,-0.6457816863278474,0.6457816863278474,0.0
fast,8,1.0,inf,-6.716947416879393,-5.616471554628646,5.616471554628646,0.0
fast,9,1.0,low,-0.633575693571153,0.49910769620884565,-0.49910769620884565,0.0
fast,9,1.0,mid,1.7004403585904164,-0.5673801663250373,0.5673801663250373,0.0
fast,10,1.0,low,-1.4939084503469076,2.022586469172751,-2.022586469172751,0.0
fast,10,1.0,high,-8.372784809207772,-2.0649106532690666,2.0649106532690666,0.0
fast,10,1.0,inf,-0.543289195151786,0.4480240092649268,-0.4480240092649268,0.0
fast,11,1.0,low,1.3573948753502332,-0.582331278757915,0.582331278757915,0.0
fast,11,1.0,high,-2.89522038252845,-3.9515100768847873,3.9515100768847873,0.0
fast,11,1.0,inf,-3.404281389232203,-0.5775289222376472,0.5775289222376472,0.0
fast,12,1.0,low,-1.6855029284720757,-4.148336499308002,4.148336499308002,0.0
fast,12,1.0,mid,-1.378823450529211,-0.2709522122184538,0.2709522122184538,0.0
fast,12,1.0,high,-5.724358644706655,-0.30522983333740683,0.30522983333740683,0.0
fast,13,1.0,low,-2.055643588025184,-0.4796977434691243,0.4796977434691243,0.0
fast,13,1.0,mid,-4.836897644046928,-1.8261137379697416,1.8261137379697416,0.0
fast,13,1.0,high,1.1272232580230082,-3.711624835238567,3.711624835238567,0.0
fast,13,1.0,inf,-4.1770684475618935,-3.375244669587943,3.375244669587943,0.0
fast,14,1.0,low,-5.260917934007769,-0.3267820113519804,0.3267820113519804,0.0
fast,14,1.0,mid,2.067904629293025,-1.1334909887168862,1.1334909887168862,0.0
fast,14,1.0,high,-0.02061402997391326,0.1873765607952862,-0.1873765607952862,0.0
fast,15,1.0,low,-2.478299054798768,-1.0354156675241484,1.0354156675241484,0.0
fast,15,1.0,mid,1.9814091289063072,-2.977168515154382,2.977168515154382,0.0
fast,15,1.0,high,-0.7389483209311152,-1.2211879850929677,1.2211879850929677,0.0
fast,16,1.0,mid,1.3900657710790014,1.80610570567773,-1.80610570567773,0.0
fast,16,1.0,high,2.8941331041333456,0.2757590429632728,-0.2757590429632728,0.0
fast,16,1.0,inf,5.03097067216013,0.8060597107053766,-0.8060597107053766,0.0
fast,17,1.0,mid,-1.5508724083841585,-1.206897940507595,1.206897940507595,0.0
fast,17,1.0,high,-1.4035791305986152,-1.3595978075503652,1.3595978075503652,0.0
fast,18,1.0,low,-1.6818202050354571,-1.4601485810940176,1.4601485810940176,0.0
fast,18,1.0,mid,-0.7103388860113427,1.183020228576794,-1.183020228576794,0.0
fast,18,1.0,high,-3.786135449911953,0.1519774719809135,-0.1519774719809135,0.0
fast,18,1.0,inf,-1.323399836312852,1.3121486979559336,-1.3121486979559336,0.0
fast,19,1.0,low,-2.9281358520996292,0.2251204468347936,-0.2251204468347936,0.0
fast,19,1.0,high,1.9160056598270927,3.2680735260239544,-3.2680735260239544,0.0
fast,19,1.0,inf,-4.067620261356755,-2.1850017607513514,2.1850017607513514,0.0
fast,20,1.0,low,-4.033541568353452,-0.5909168724995671,0.5909168724995671,0.0
fast,20,1.0,mid,2.9089558133109534,0.8164467837354579,-0.8164467837354579,0.0
fast,20,1.0,high,-13.43110735666189,-0.323110042324366,0.323110042324366,0.0
fast,21,1.0,low,-2.9685446424276876,-1.1529749312039381,1.1529749312039381,0.0
fast,21,1.0,mid,0.5611939593202493,-1.411636113401201,1.411636113401201,0.0
fast,21,1.0,high,-4.184659760054274,1.3456614410994732,-1.3456614410994732,0.0
fast,22,1.0,low,-11.271949760184214,-3.277948789447805,3.277948789447805,0.0
fast,22,1.0,mid,-5.61895587862963,0.8349469741439653,-0.8349469741439653,0.0
