condition,subject,sub_task,block,acc
4F4K_congruent,15,2,13,1.0
4F4K_congruent,15,2,14,0.3076923076923077
4F4K_congruent,15,2,15,0.5
4F4K_congruent,19,1,0,0.4444444444444444
4F4K_congruent,19,1,1,0.6875
4F4K_congruent,19,1,2,0.8181818181818182
4F4K_congruent,19,1,3,0.7692307692307693
4F4K_congruent,19,1,4,0.6666666666666666
4F4K_congruent,19,1,5,1.0
4F4K_congruent,19,1,6,0.7692307692307693
4F4K_congruent,19,1,7,0.8333333333333334
4F4K_congruent,19,1,8,0.8666666666666667
4F4K_congruent,19,1,9,0.6666666666666666
4F4K_congruent,19,1,10,0.7142857142857143
4F4K_congruent,19,1,11,0.7
4F4K_congruent,19,1,12,0.5555555555555556
4F4K_congruent,19,1,13,0.7333333333333333
4F4K_congruent,19,1,14,1.0
4F4K_congruent,19,1,15,0.5454545454545454
4F4K_congruent,19,2,0,0.8125
4F4K_congruent,19,2,1,0.8888888888888888
4F4K_congruent,19,2,2,1.0
4F4K_congruent,19,2,3,0.75
4F4K_congruent,19,2,4,0.5384615384615384
4F4K_congruent,19,2,5,0.8666666666666667
4F4K_congruent,19,2,6,0.75
4F4K_congruent,19,2,7,0.6923076923076923
4F4K_congruent,19,2,8,0.4
4F4K_congruent,19,2,9,0.7
4F4K_congruent,19,2,10,0.7272727272727273
4F4K_congruent,19,2,11,0.6
4F4K_congruent,19,2,12,0.6875
4F4K_congruent,19,2,13,0.5
4F4K_congruent,19,2,14,0.6875
4F4K_congruent,19,2,15,0.7692307692307693
4F4K_congruent,23,1,0,0.4166666666666667
4F4K_congruent,23,1,1,0.5
4F4K_congruent,23,1,2,0.4666666666666667
4F4K_congruent,23,1,3,0.2222222222222222
4F4K_congruent,23,1,4,0.6666666666666666
4F4K_congruent,23,1,5,0.8333333333333334
4F4K_congruent,23,1,6,0.7692307692307693
4F4K_congruent,23,1,7,0.9090909090909091
4F4K_congruent,23,1,8,0.8181818181818182
4F4K_congruent,23,1,9,0.7272727272727273
4F4K_congruent,23,1,10,0.8
4F4K_congruent,23,1,11,0.6923076923076923
4F4K_congruent,23,1,12,0.7692307692307693
