subject,session,popt_a,popt_b,popt_c
1,1,38.38215875365807,6.055310402331398,0.631452302307719
1,2,29.779022977666745,9.150615739107542,4.235716149627729
1,3,40.18776354080598,2.417920986940146,0.7411914755148887
1,4,50.78557076176249,2.118031343670676,3.544286324635594
4,1,8.96955046053182,13.186049924189668,5.343529667838649
4,2,33.07440915216056,3.6845925652806155,0.361667195260553
4,3,61.08321349970932,2.37290738528226,1.896422761467646
4,4,43.69415400688242,7.236582570904867,6.901398974116526
5,1,18.100796509845615,6.248325185221264,9.563222526335707
5,2,5.984118195968602,14.157680811237,11.67306835040564
5,3,16.679961942492913,9.930496401376985,2.211582595379689
5,4,28.57154820035331,9.971412406413169,3.713344256478316
6,1,22.259425899206477,9.943614074008371,1.7586266606344962
6,2,54.30359081695582,3.0343104998699912,2.1018338482049064
6,3,30.52025136836112,8.751444664768322,3.235044789465847
6,4,59.05866087647946,1.9989170654636377,1.2089899845564962e-10
7,1,32.18759899065817,8.992758514160167,13.070198009534796
7,2,32.307800229721614,7.148632909571676,3.4726548738255527
7,3,35.44004500234271,9.664547591119911,19.046690943134216
7,4,34.60823142460401,2.509292729524843,4.469325806537013
8,1,2.306250275939413,1.7351886407483226,4.409755152315211e-15
8,2,18.298819788109355,0.10005264418901838,3.0164152683994113e-09
8,3,39.14416146298284,1.0384673456796971,4.948074928870461e-41
8,4,33.03942708424653,3.8671125451399115,4.52994139461196e-14
