experiment,condition,subject,block,phase,acc
1,new_learn,26,2,Learn,0.64
1,new_learn,26,3,Learn,0.32
1,new_learn,26,4,Learn,0.48
1,new_learn,26,5,Learn,0.36
1,new_learn,26,6,Learn,0.64
1,new_learn,26,7,Learn,0.44
1,new_learn,26,8,Learn,0.68
1,new_learn,26,9,Learn,0.6
1,new_learn,26,10,Learn,0.56
1,new_learn,26,11,Learn,0.6
1,new_learn,26,12,Intervention,0.52
1,new_learn,26,13,Intervention,0.24
1,new_learn,26,14,Intervention,0.36
1,new_learn,26,15,Intervention,0.6
1,new_learn,26,16,Intervention,0.36
1,new_learn,26,17,Intervention,0.76
1,new_learn,26,18,Intervention,0.56
1,new_learn,26,19,Intervention,0.16
1,new_learn,26,20,Intervention,0.32
1,new_learn,26,21,Intervention,0.48
1,new_learn,26,22,Intervention,0.28
1,new_learn,26,23,Intervention,0.68
1,new_learn,26,24,Test,0.4
1,new_learn,26,25,Test,0.48
1,new_learn,26,26,Test,0.4
1,new_learn,26,27,Test,0.52
1,new_learn,26,28,Test,0.56
1,new_learn,26,29,Test,0.64
1,new_learn,26,30,Test,0.6
1,new_learn,26,31,Test,0.36
1,new_learn,26,32,Test,0.24
1,new_learn,26,33,Test,0.36
1,new_learn,26,34,Test,0.32
1,new_learn,26,35,Test,0.2916666666666667
1,new_learn,27,0,Learn,0.48
1,new_learn,27,1,Learn,0.44
1,new_learn,27,2,Learn,0.48
1,new_learn,27,3,Learn,0.68
1,new_learn,27,4,Learn,0.36
1,new_learn,27,5,Learn,0.36
1,new_learn,27,6,Learn,0.48
1,new_learn,27,7,Learn,0.56
1,new_learn,27,8,Learn,0.6
1,new_learn,27,9,Learn,0.72
1,new_learn,27,10,Learn,0.64
1,new_learn,27,11,Learn,0.68
1,new_learn,27,12,Intervention,0.56
1,new_learn,27,13,Intervention,0.44
1,new_learn,27,14,Intervention,0.6
1,new_learn,27,15,Intervention,0.52
1,new_learn,27,16,Intervention,0.36
1,new_learn,27,17,Intervention,0.6
1,new_learn,27,18,Intervention,0.32
1,new_learn,27,19,Intervention,0.44
1,new_learn,27,20,Intervention,0.48
1,new_learn,27,21,Intervention,0.36
1,new_learn,27,22,Intervention,0.4
1,new_learn,27,23,Intervention,0.6
1,new_learn,27,24,Test,0.4
1,new_learn,27,25,Test,0.48
1,new_learn,27,26,Test,0.48
1,new_learn,27,27,Test,0.6
1,new_learn,27,28,Test,0.64
1,new_learn,27,29,Test,0.76
1,new_learn,27,30,Test,0.6
1,new_learn,27,31,Test,0.76
1,new_learn,27,32,Test,0.8
1,new_learn,27,33,Test,0.76
1,new_learn,27,34,Test,0.76
1,new_learn,27,35,Test,0.7916666666666666
1,new_learn,28,0,Learn,0.56
1,new_learn,28,1,Learn,0.84
1,new_learn,28,2,Learn,0.8
1,new_learn,28,3,Learn,0.72
1,new_learn,28,4,Learn,0.64
1,new_learn,28,5,Learn,0.68
1,new_learn,28,6,Learn,0.76
1,new_learn,28,7,Learn,0.72
1,new_learn,28,8,Learn,0.6
1,new_learn,28,9,Learn,0.68
1,new_learn,28,10,Learn,0.84
1,new_learn,28,11,Learn,0.6
1,new_learn,28,12,Intervention,0.72
1,new_learn,28,13,Intervention,0.72
1,new_learn,28,14,Intervention,0.88
1,new_learn,28,15,Intervention,0.72
1,new_learn,28,16,Intervention,0.68
1,new_learn,28,17,Intervention,0.48
1,new_learn,28,18,Intervention,0.6
1,new_learn,28,19,Intervention,0.44
1,new_learn,28,20,Intervention,0.64
1,new_learn,28,21,Intervention,0.64
1,new_learn,28,22,Intervention,0.64
1,new_learn,28,23,Intervention,0.72
